 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_ctypeslib/__pycache__/utils.cpython-313.pyc                                                              | 1758      | 1749664750 | 1749664750 | 107  | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_ctypeslib/__pycache__/libudev.cpython-313.pyc                                                            | 7935      | 1749664750 | 1749664750 | 109  | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_ctypeslib/__pycache__/libc.cpython-313.pyc                                                               | 587       | 1749664750 | 1749664750 | 106  | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_ctypeslib/__pycache__/__init__.cpython-313.pyc                                                           | 370       | 1749664750 | 1749664750 | 110  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_ctypeslib/utils.py                                                                                       | 2338      | 1749664750 | 1749664750 | 82   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__init__.py                                                                                               | 2023      | 1749664750 | 1749664750 | 74   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/pyside6.py                                                                                                | 1538      | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_os/__init__.py                                                                                           | 979       | 1749664750 | 1749664750 | 78   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_os/pipe.py                                                                                               | 4428      | 1749664750 | 1749664750 | 74   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_os/__pycache__/pipe.cpython-313.pyc                                                                      | 5222      | 1749664750 | 1749664750 | 99   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_os/__pycache__/poll.cpython-313.pyc                                                                      | 4228      | 1749664750 | 1749664750 | 99   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_os/__pycache__/__init__.cpython-313.pyc                                                                  | 381       | 1749664750 | 1749664750 | 103  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_os/poll.py                                                                                               | 4019      | 1749664750 | 1749664750 | 74   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/core.py                                                                                                   | 13234     | 1749664750 | 1749664750 | 70   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/discover.py                                                                                               | 11327     | 1749664750 | 1749664750 | 74   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/pyqt5.py                                                                                                  | 1448      | 1749664750 | 1749664750 | 71   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_qt_base.py                                                                                               | 6898      | 1749664750 | 1749664750 | 74   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/_errors.py                                                                                                | 5034      | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/glib.py                                                                                                   | 6480      | 1749664750 | 1749664750 | 70   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/monitor.py                                                                                                | 21016     | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/device/_device.py                                                                                         | 44541     | 1749664750 | 1749664750 | 80   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/device/__init__.py                                                                                        | 1012      | 1749664750 | 1749664750 | 81   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/device/__pycache__/_device.cpython-313.pyc                                                                | 47916     | 1749664750 | 1749664750 | 105  | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/device/__pycache__/__init__.cpython-313.pyc                                                               | 435       | 1749664750 | 1749664750 | 106  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/version.py                                                                                                | 1088      | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/_errors.cpython-313.pyc                                                                       | 7355      | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/_qt_base.cpython-313.pyc                                                                      | 7650      | 1749664750 | 1749664750 | 99   | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/wx.cpython-313.pyc                                                                            | 5196      | 1749664750 | 1749664750 | 93   | 18   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/glib.cpython-313.pyc                                                                          | 6568      | 1749664750 | 1749664750 | 95   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/_util.cpython-313.pyc                                                                         | 6829      | 1749664750 | 1749664750 | 96   | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/pyqt4.cpython-313.pyc                                                                         | 1100      | 1749664750 | 1749664750 | 96   | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/monitor.cpython-313.pyc                                                                       | 21664     | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/pyqt5.cpython-313.pyc                                                                         | 887       | 1749664750 | 1749664750 | 96   | 21   
